"","model_label","Model_Code","refLabel","refPercent","BpS_Name","OID_","Value","Count","Feature_hoos2","bps_aoi","scls_aoi","MAP_UNIT_SYMBOL","BPS_NAME","total_count","currentPercent"
"56","13050_47_48_Developed","13050_47_48","Developed",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",344,344,1175,6,2067,120,"223De02","Southern Interior Low Plateau Dry-Mesic Oak Forest",19333,6
"57","13050_47_48_Developed","13050_47_48","Developed",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",415,415,3428,8,2067,120,"223De04","Southern Interior Low Plateau Dry-Mesic Oak Forest",65587,5
"58","13050_47_48_Developed","13050_47_48","Developed",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",437,437,7534,9,2067,120,"223De05","Southern Interior Low Plateau Dry-Mesic Oak Forest",143797,5
"59","13050_47_48_Developed","13050_47_48","Developed",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",481,481,4215,10,2067,120,"223De06","Southern Interior Low Plateau Dry-Mesic Oak Forest",120326,3
"60","13050_47_48_Water","13050_47_48","Water",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","13050_47_48_UN","13050_47_48","UN",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","13050_47_48_UE","13050_47_48","UE",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",10,10,1371,1,2067,7,"223Ba01","Southern Interior Low Plateau Dry-Mesic Oak Forest",64134,2
"63","13050_47_48_UE","13050_47_48","UE",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",66,66,957,3,2067,7,"223Ba03","Southern Interior Low Plateau Dry-Mesic Oak Forest",9801,9
"64","13050_47_48_UE","13050_47_48","UE",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",125,125,711,4,2067,7,"223Ba04","Southern Interior Low Plateau Dry-Mesic Oak Forest",22789,3
"65","13050_47_48_UE","13050_47_48","UE",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",165,165,1015,2,2067,7,"223Ba02","Southern Interior Low Plateau Dry-Mesic Oak Forest",33882,2
"66","13050_47_48_UE","13050_47_48","UE",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",241,241,15316,5,2067,7,"223De01","Southern Interior Low Plateau Dry-Mesic Oak Forest",129463,11
"67","13050_47_48_UE","13050_47_48","UE",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",281,281,959,7,2067,7,"223De03","Southern Interior Low Plateau Dry-Mesic Oak Forest",15416,6
"68","13050_47_48_UE","13050_47_48","UE",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",340,340,1443,6,2067,7,"223De02","Southern Interior Low Plateau Dry-Mesic Oak Forest",19333,7
"69","13050_47_48_UE","13050_47_48","UE",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",399,399,7229,8,2067,7,"223De04","Southern Interior Low Plateau Dry-Mesic Oak Forest",65587,11
"70","13050_47_48_UE","13050_47_48","UE",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",435,435,12786,9,2067,7,"223De05","Southern Interior Low Plateau Dry-Mesic Oak Forest",143797,8
"71","13050_47_48_UE","13050_47_48","UE",0,"Southern Interior Low Plateau Dry-Mesic Oak Forest",480,480,7504,10,2067,7,"223De06","Southern Interior Low Plateau Dry-Mesic Oak Forest",120326,6
"72","13100_47_A","13100_47","A",2,"North-Central Interior Dry-Mesic Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","13100_47_B","13100_47","B",7,"North-Central Interior Dry-Mesic Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","13100_47_C","13100_47","C",27,"North-Central Interior Dry-Mesic Oak Forest and Woodland",72,72,2,1,2070,3,"223Ba01","North-Central Interior Dry-Mesic Oak Forest and Woodland",247,0
"75","13100_47_C","13100_47","C",27,"North-Central Interior Dry-Mesic Oak Forest and Woodland",210,210,2,4,2070,3,"223Ba04","North-Central Interior Dry-Mesic Oak Forest and Woodland",40,5
"76","13100_47_C","13100_47","C",27,"North-Central Interior Dry-Mesic Oak Forest and Woodland",267,267,1,5,2070,3,"223De01","North-Central Interior Dry-Mesic Oak Forest and Woodland",3,33
"77","13100_47_D","13100_47","D",61,"North-Central Interior Dry-Mesic Oak Forest and Woodland",20,20,97,1,2070,4,"223Ba01","North-Central Interior Dry-Mesic Oak Forest and Woodland",247,39
"78","13100_47_D","13100_47","D",61,"North-Central Interior Dry-Mesic Oak Forest and Woodland",71,71,48,3,2070,4,"223Ba03","North-Central Interior Dry-Mesic Oak Forest and Woodland",100,48
"79","13100_47_D","13100_47","D",61,"North-Central Interior Dry-Mesic Oak Forest and Woodland",200,200,20,2,2070,4,"223Ba02","North-Central Interior Dry-Mesic Oak Forest and Woodland",41,48
"80","13100_47_D","13100_47","D",61,"North-Central Interior Dry-Mesic Oak Forest and Woodland",211,211,15,4,2070,4,"223Ba04","North-Central Interior Dry-Mesic Oak Forest and Woodland",40,37
"81","13100_47_E","13100_47","E",3,"North-Central Interior Dry-Mesic Oak Forest and Woodland",14,14,128,1,2070,5,"223Ba01","North-Central Interior Dry-Mesic Oak Forest and Woodland",247,51
"82","13100_47_E","13100_47","E",3,"North-Central Interior Dry-Mesic Oak Forest and Woodland",79,79,36,3,2070,5,"223Ba03","North-Central Interior Dry-Mesic Oak Forest and Woodland",100,36
"83","13100_47_E","13100_47","E",3,"North-Central Interior Dry-Mesic Oak Forest and Woodland",193,193,17,2,2070,5,"223Ba02","North-Central Interior Dry-Mesic Oak Forest and Woodland",41,41
"84","13100_47_E","13100_47","E",3,"North-Central Interior Dry-Mesic Oak Forest and Woodland",209,209,8,4,2070,5,"223Ba04","North-Central Interior Dry-Mesic Oak Forest and Woodland",40,20
"85","13100_47_Agriculture","13100_47","Agriculture",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",227,227,6,1,2070,180,"223Ba01","North-Central Interior Dry-Mesic Oak Forest and Woodland",247,2
"86","13100_47_Agriculture","13100_47","Agriculture",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",229,229,1,4,2070,180,"223Ba04","North-Central Interior Dry-Mesic Oak Forest and Woodland",40,2
"87","13100_47_Agriculture","13100_47","Agriculture",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",529,529,5,9,2070,180,"223De05","North-Central Interior Dry-Mesic Oak Forest and Woodland",5,100
"88","13100_47_Agriculture","13100_47","Agriculture",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",539,539,1,10,2070,180,"223De06","North-Central Interior Dry-Mesic Oak Forest and Woodland",2,50
"89","13100_47_Developed","13100_47","Developed",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",43,43,10,1,2070,120,"223Ba01","North-Central Interior Dry-Mesic Oak Forest and Woodland",247,4
"90","13100_47_Developed","13100_47","Developed",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",82,82,6,3,2070,120,"223Ba03","North-Central Interior Dry-Mesic Oak Forest and Woodland",100,6
"91","13100_47_Developed","13100_47","Developed",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",188,188,1,2,2070,120,"223Ba02","North-Central Interior Dry-Mesic Oak Forest and Woodland",41,2
"92","13100_47_Developed","13100_47","Developed",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",201,201,8,4,2070,120,"223Ba04","North-Central Interior Dry-Mesic Oak Forest and Woodland",40,20
"93","13100_47_Developed","13100_47","Developed",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",389,389,1,5,2070,120,"223De01","North-Central Interior Dry-Mesic Oak Forest and Woodland",3,33
"94","13100_47_Water","13100_47","Water",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","13100_47_UN","13100_47","UN",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",92,92,1,3,2070,6,"223Ba03","North-Central Interior Dry-Mesic Oak Forest and Woodland",100,1
"96","13100_47_UN","13100_47","UN",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",96,96,3,1,2070,6,"223Ba01","North-Central Interior Dry-Mesic Oak Forest and Woodland",247,1
"97","13100_47_UE","13100_47","UE",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",84,84,9,3,2070,7,"223Ba03","North-Central Interior Dry-Mesic Oak Forest and Woodland",100,9
"98","13100_47_UE","13100_47","UE",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",128,128,1,1,2070,7,"223Ba01","North-Central Interior Dry-Mesic Oak Forest and Woodland",247,0
"99","13100_47_UE","13100_47","UE",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",197,197,3,2,2070,7,"223Ba02","North-Central Interior Dry-Mesic Oak Forest and Woodland",41,7
"100","13100_47_UE","13100_47","UE",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",215,215,6,4,2070,7,"223Ba04","North-Central Interior Dry-Mesic Oak Forest and Woodland",40,15
"101","13100_47_UE","13100_47","UE",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",371,371,1,6,2070,7,"223De02","North-Central Interior Dry-Mesic Oak Forest and Woodland",1,100
"102","13100_47_UE","13100_47","UE",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",383,383,1,5,2070,7,"223De01","North-Central Interior Dry-Mesic Oak Forest and Woodland",3,33
"103","13100_47_UE","13100_47","UE",0,"North-Central Interior Dry-Mesic Oak Forest and Woodland",541,541,1,10,2070,7,"223De06","North-Central Interior Dry-Mesic Oak Forest and Woodland",2,50
"104","13130_47_50_51_A","13130_47_50_51","A",8,"North-Central Interior Beech-Maple Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","13130_47_50_51_B","13130_47_50_51","B",9,"North-Central Interior Beech-Maple Forest",190,190,1,3,2071,2,"223Ba03","North-Central Interior Beech-Maple Forest",1268,0
"106","13130_47_50_51_B","13130_47_50_51","B",9,"North-Central Interior Beech-Maple Forest",228,228,1,2,2071,2,"223Ba02","North-Central Interior Beech-Maple Forest",1182,0
"107","13130_47_50_51_C","13130_47_50_51","C",14,"North-Central Interior Beech-Maple Forest",35,35,214,1,2071,3,"223Ba01","North-Central Interior Beech-Maple Forest",562,38
"108","13130_47_50_51_C","13130_47_50_51","C",14,"North-Central Interior Beech-Maple Forest",101,101,676,3,2071,3,"223Ba03","North-Central Interior Beech-Maple Forest",1268,53
"109","13130_47_50_51_C","13130_47_50_51","C",14,"North-Central Interior Beech-Maple Forest",196,196,497,2,2071,3,"223Ba02","North-Central Interior Beech-Maple Forest",1182,42
"110","13130_47_50_51_C","13130_47_50_51","C",14,"North-Central Interior Beech-Maple Forest",204,204,14,4,2071,3,"223Ba04","North-Central Interior Beech-Maple Forest",17,82
"111","13130_47_50_51_D","13130_47_50_51","D",69,"North-Central Interior Beech-Maple Forest",109,109,15,3,2071,4,"223Ba03","North-Central Interior Beech-Maple Forest",1268,1
"112","13130_47_50_51_D","13130_47_50_51","D",69,"North-Central Interior Beech-Maple Forest",161,161,3,1,2071,4,"223Ba01","North-Central Interior Beech-Maple Forest",562,0
"113","13130_47_50_51_D","13130_47_50_51","D",69,"North-Central Interior Beech-Maple Forest",208,208,7,2,2071,4,"223Ba02","North-Central Interior Beech-Maple Forest",1182,0
"114","13130_47_50_51_E","13130_47_50_51","E",NA,"North-Central Interior Beech-Maple Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","13130_47_50_51_Agriculture","13130_47_50_51","Agriculture",0,"North-Central Interior Beech-Maple Forest",41,41,259,1,2071,180,"223Ba01","North-Central Interior Beech-Maple Forest",562,46
"116","13130_47_50_51_Agriculture","13130_47_50_51","Agriculture",0,"North-Central Interior Beech-Maple Forest",110,110,275,3,2071,180,"223Ba03","North-Central Interior Beech-Maple Forest",1268,21
"117","13130_47_50_51_Agriculture","13130_47_50_51","Agriculture",0,"North-Central Interior Beech-Maple Forest",216,216,452,2,2071,180,"223Ba02","North-Central Interior Beech-Maple Forest",1182,38
"118","13130_47_50_51_Developed","13130_47_50_51","Developed",0,"North-Central Interior Beech-Maple Forest",76,76,58,1,2071,120,"223Ba01","North-Central Interior Beech-Maple Forest",562,10
"119","13130_47_50_51_Developed","13130_47_50_51","Developed",0,"North-Central Interior Beech-Maple Forest",123,123,78,3,2071,120,"223Ba03","North-Central Interior Beech-Maple Forest",1268,6
"120","13130_47_50_51_Developed","13130_47_50_51","Developed",0,"North-Central Interior Beech-Maple Forest",207,207,106,2,2071,120,"223Ba02","North-Central Interior Beech-Maple Forest",1182,8
"121","13130_47_50_51_Developed","13130_47_50_51","Developed",0,"North-Central Interior Beech-Maple Forest",232,232,2,4,2071,120,"223Ba04","North-Central Interior Beech-Maple Forest",17,11
"122","13130_47_50_51_Water","13130_47_50_51","Water",0,"North-Central Interior Beech-Maple Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","13130_47_50_51_UN","13130_47_50_51","UN",0,"North-Central Interior Beech-Maple Forest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","13130_47_50_51_UE","13130_47_50_51","UE",0,"North-Central Interior Beech-Maple Forest",95,95,28,1,2071,7,"223Ba01","North-Central Interior Beech-Maple Forest",562,4
