OID_,Value,Count,Feature_hoos2,bps_aoi,evt_aoi,MAP_UNIT_SYMBOL,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
87,87,7,1,2067,9224,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,South-Central Interior Small Stream and Riparian Forest,Riparian
88,88,28,1,2072,7929,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Developed Herbaceous,Developed
89,89,7,1,2072,7975,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Close Grown Crop,Agricultural
90,90,7,1,2072,9317,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
91,91,26,1,2085,7909,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Urban Shrubland,Developed
92,92,6,1,2085,7929,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Developed Herbaceous,Developed
93,93,2,1,2067,9726,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,South-Central Interior Small Stream and Riparian Herbaceous,Riparian
94,94,57,1,2072,7976,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
95,95,37,1,2085,9318,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Northern & Central Ruderal Wet Meadow & Marsh,Riparian
96,96,438,1,2088,9223,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,South-Central Interior Large Floodplain Forest,Riparian
97,97,52,1,2079,7299,223Ba01,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,19,16,5,3,Developed-Roads,Developed-Roads
98,98,5,1,2085,9317,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub
99,99,14,1,2079,9315,223Ba01,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,19,16,5,3,Northern & Central Native Ruderal Forest,Conifer-Hardwood
100,100,157,1,2072,9725,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,South-Central Interior Large Floodplain Herbaceous,Riparian
101,101,17,1,2085,9723,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,South-Central Interior Large Floodplain Shrubland,Riparian
102,102,45,1,2071,7977,223Ba01,13130_47_50_51,North-Central Interior Beech-Maple Forest,1004,0,836,456,Eastern Cool Temperate Pasture and Hayland,Agricultural
103,103,199,1,2071,7974,223Ba01,13130_47_50_51,North-Central Interior Beech-Maple Forest,1004,0,836,456,Eastern Cool Temperate Row Crop,Agricultural
104,104,25,1,2088,9314,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian
105,105,11,1,2091,9817,223Ba01,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,993,0,0,993,Northern & Central Ruderal Meadow,Exotic Herbaceous
106,106,196,1,2084,9725,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,South-Central Interior Large Floodplain Herbaceous,Riparian
107,107,32,1,2072,7297,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Developed-Medium Intensity,Developed-Medium Intensity
108,108,10,1,2091,9315,223Ba01,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,993,0,0,993,Northern & Central Native Ruderal Forest,Conifer-Hardwood
109,109,5,1,2070,7299,223Ba01,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,162,160,11,9,Developed-Roads,Developed-Roads
110,110,9,1,2084,7929,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Eastern Cool Temperate Developed Herbaceous,Developed
111,111,3,1,2071,9223,223Ba01,13130_47_50_51,North-Central Interior Beech-Maple Forest,1004,0,836,456,South-Central Interior Large Floodplain Forest,Riparian
112,112,15,1,2091,7977,223Ba01,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,993,0,0,993,Eastern Cool Temperate Pasture and Hayland,Agricultural
113,113,1,1,2079,7976,223Ba01,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,19,16,5,3,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
114,114,24,1,2067,7906,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,Eastern Cool Temperate Urban Evergreen Forest,Developed
115,115,19131,3,2072,7305,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
116,116,6244,3,2067,7305,223Ba03,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
117,117,42,1,2091,7305,223Ba01,15180_43_47_49_52_62_63_64_65,North-Central Interior Wet Flatwoods,993,0,0,993,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
118,118,1,1,2085,9726,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,South-Central Interior Small Stream and Riparian Herbaceous,Riparian
119,119,1091,3,2067,7321,223Ba03,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,South-Central Interior Mesophytic Forest,Hardwood
120,120,113,3,2085,9224,223Ba03,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,South-Central Interior Small Stream and Riparian Forest,Riparian
121,121,28,3,2085,7976,223Ba03,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural
122,122,231,3,11,7292,223Ba03,,Open Water,0,0,0,0,Open Water,Open Water
123,123,4196,3,2072,7321,223Ba03,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,South-Central Interior Mesophytic Forest,Hardwood
124,124,8,1,2084,7908,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Eastern Cool Temperate Urban Herbaceous,Developed
125,125,409,3,2085,9315,223Ba03,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Northern & Central Native Ruderal Forest,Conifer-Hardwood
