OID_,Value,Count,Feature_hoos2,bps_aoi,scls_aoi,MAP_UNIT_SYMBOL,BPS_MODEL,BPS_NAME,LABEL
132,132,850.000000000000000,4,2067,120,223Ba04,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Developed
133,133,933.000000000000000,4,2084,180,223Ba04,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Agriculture
134,134,1.000000000000000,3,2088,2,223Ba03,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,B
135,135,2364.000000000000000,4,2072,7,223Ba04,13210_47_48_53_57,South-Central Interior Mesophytic Forest,UE
136,136,9.000000000000000,3,2079,120,223Ba03,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,Developed
137,137,1852.000000000000000,4,2084,3,223Ba04,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,C
138,138,44.000000000000000,4,2088,180,223Ba04,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Agriculture
139,139,11.000000000000000,4,2079,7,223Ba04,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,UE
140,140,1747.000000000000000,4,2072,180,223Ba04,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Agriculture
141,141,740.000000000000000,4,2084,2,223Ba04,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,B
142,142,4725.000000000000000,2,2085,2,223Ba02,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,B
143,143,311.000000000000000,4,2085,180,223Ba04,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Agriculture
144,144,469.000000000000000,2,2085,120,223Ba02,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Developed
145,145,667.000000000000000,2,2084,120,223Ba02,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,Developed
146,146,553.000000000000000,2,2085,7,223Ba02,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,UE
147,147,996.000000000000000,2,2085,180,223Ba02,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Agriculture
148,148,4072.000000000000000,2,2072,180,223Ba02,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Agriculture
149,149,59977.000000000000000,2,2072,2,223Ba02,13210_47_48_53_57,South-Central Interior Mesophytic Forest,B
150,150,29345.000000000000000,2,2067,3,223Ba02,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,C
151,151,642.000000000000000,2,2085,3,223Ba02,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,C
152,152,1767.000000000000000,2,2067,180,223Ba02,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Agriculture
153,153,1551.000000000000000,2,2072,3,223Ba02,13210_47_48_53_57,South-Central Interior Mesophytic Forest,C
154,154,476.000000000000000,4,2067,5,223Ba04,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,E
155,155,2909.000000000000000,2,2072,120,223Ba02,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Developed
156,156,2769.000000000000000,2,2072,7,223Ba02,13210_47_48_53_57,South-Central Interior Mesophytic Forest,UE
157,157,1444.000000000000000,2,2088,3,223Ba02,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,C
158,158,841.000000000000000,2,2084,7,223Ba02,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,UE
159,159,1199.000000000000000,2,2067,120,223Ba02,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Developed
160,160,4758.000000000000000,2,2084,3,223Ba02,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,C
161,161,3.000000000000000,1,2071,4,223Ba01,13130_47_50_51,North-Central Interior Beech-Maple Forest,D
162,162,709.000000000000000,2,2084,2,223Ba02,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,B
163,163,37.000000000000000,4,2084,4,223Ba04,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,D
164,164,1009.000000000000000,2,11,111,223Ba02,,Open Water,Water
